"Ref_lead_author","Ref_publication_date","Ref_title","Ref_html_link","Ref_DOI_number","Application","Application_specific","Mode","Tribopositive","Tribonegative","Electrode","Open_circuit_voltage","Short_circuit_current","Power_density","Current_density","Charge_density","Thickness","Area","Operating_frequency"
"Jie Wang","2016/03/04","Self-Powered Electrochemical Synthesis of Polypyrrole from the Pulsed Output of a Triboelectric Nanogenerator as a Sustainable Energy System","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201600021","10.1002/adfm.201600021","sensor","","","","Kapton","titanium","","68 μA","","","75 μC m−2","electrode 25 μm tribonegative layer 125 μm ","","10 Hz"
"Tao Li","2016/04/29","Lightweight Triboelectric Nanogenerator for Energy Harvesting and Sensing Tiny Mechanical Motion","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201600279","10.1002/adfm.201600279","energy harvester","use of energy from motion","","nylon","PVDF","carbon","75 V","6 μA","","","","","","20 Hz"
"Xu He","2016/12/20","A Highly Stretchable Fiber-Based Triboelectric Nanogenerator for Self-Powered Wearable Electronics","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201604378","10.1002/adfm.201604378","sensor","tactile/motion sensor","contact-separation","","silicone rubber","copper","142.8 V","7.38 µA","","","","","","0.5 Hz"
"Ying-Chih Lai","2016/11/03","Single-Thread-Based Wearable and Highly Stretchable Triboelectric Nanogenerators and Their Applications in Cloth-Based Self-Powered Human-Interactive and Biomedical Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201604462","10.1002/adfm.201604462","sensor","tactile/motion sensor","","nylon","polytetrafluoroethylene","","200 V","200 µA","","","","","",""
"Li Zheng","2017/03/15","Self-Powered Electrostatic Actuation Systems for Manipulating the Movement of both Microfluid and Solid Objects by Using Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201606408","10.1002/adfm.201606408","sensor","tactile/motion sensor","contact-separation","","FEP","carbon fiber","1800 V","3.9 µA","","","","tribonegative layer 50 µm ","70 cm2","10 Hz"
"Steven L. Zhang","2017/05/15","Auxetic Foam-Based Contact-Mode Triboelectric Nanogenerator with Highly Sensitive Self-Powered Strain Sensing Capabilities to Monitor Human Body Movement","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201606695","10.1002/adfm.201606695","sensor","tactile/motion sensor","contact-separation","aluminum","","","12 V","8.5 nA","","","1.6 µC m−2","","","1 Hz"
"Chunhua Yao","2017/06/16","Chemically Functionalized Natural Cellulose Materials for Effective Triboelectric Nanogenerator Development","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201700794","10.1002/adfm.201700794","","","contact-separation","cellulose","FEP","Cu","","","","","133.24 µC m−2","","1 cm × 0.75 cm","20 Hz"
"Tian Xiao Xiao","2018/07/01","Spherical Triboelectric Nanogenerators Based on Spring-Assisted Multilayered Structure for Efficient Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201802634","10.1002/adfm.201802634","energy harvester","use of energy from water/fluid","","","Kapton","aluminum","","","15.20 W m−3","","","","3 cm × 3 cm","1.0 Hz"
"Zewei Ren","2018/06/06","Fully Elastic and Metal-Free Tactile Sensors for Detecting both Normal and Tangential Forces Based on Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201802989","10.1002/adfm.201802989","sensor","tactile/motion sensor","single-electrode","","PDMS","carbon black","19 V","","","","","electrode 5 mm ","",""
"Zhen Wen","2018/07/27","A Wrinkled PEDOT:PSS Film Based Stretchable and Transparent Triboelectric Nanogenerator for Wearable Energy Harvesters and Active Motion Sensors","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201803684","10.1002/adfm.201803684","energy harvester","use of energy from motion","","human skin","PDMS","aluminum","255.6 V","22.6 µA","4.06 mW m−2","","","","6×3 cm2","2.5 Hz"
"Shuo Chen","2018/09/14","A Single Integrated 3D-Printing Process Customizes Elastic and Sustainable Triboelectric Nanogenerators for Wearable Electronics","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201805108","10.1002/adfm.201805108","sensor","tactile/motion sensor","","","","","76 V","","1.11 W m−3","190 mA m−3","","","","4 Hz"
"Xu He","2018/09/19","A Hierarchically Nanostructured Cellulose Fiber-Based Triboelectric Nanogenerator for Self-Powered Healthcare Products","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201805540","10.1002/adfm.201805540","sensor","","contact-separation","cellulose","","Ag","21.9 V","0.73 µA","7.68 µW cm−2","","","","","1 Hz"
"Xi Liang","2019/01/09","Triboelectric Nanogenerator Networks Integrated with Power Management Module for Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201807241","10.1002/adfm.201807241","energy harvester","use of energy from water/fluid","","","FEP","aluminum","253 V","78 µA","","","","","","1.0 Hz"
"Rongmei Wen","2019/03/29","Humidity-Resistive Triboelectric Nanogenerator Fabricated Using Metal Organic Framework Composite","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201807655","10.1002/adfm.201807655","energy harvester","use of energy from water/fluid","contact-separation","","PDMS","aluminum","","","","","","","","1000 Hz"
"Anki Reddy Mule","2019/02/28","Humidity Sustained Wearable Pouch-Type Triboelectric Nanogenerator for Harvesting Mechanical Energy from Human Activities","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201807779","10.1002/adfm.201807779","energy harvester","use of energy from motion","freestanding","nylon","PDMS","Al","400 V","22 µA","25.35 W m−2","","","","2×2 cm2","5 Hz"
"Zi Hao Guo","2019/02/14","Self-Powered Electrowetting Valve for Instantaneous and Simultaneous Actuation of Paper-Based Microfluidic Assays","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201808974","10.1002/adfm.201808974","sensor","tactile/motion sensor","","","fluorinated ethylene propylene","aluminum","380 V","8 µA","","","","","","000 Hz"
"Xiangqian Zhang","2019/03/22","Self-Powered Distributed Water Level Sensors Based on Liquid–Solid Triboelectric Nanogenerators for Ship Draft Detecting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201900327","10.1002/adfm.201900327","sensor","","lateral sliding","","","copper","15 V","","","","","","","0.2 Hz"
"Van-Tien Bui","2019/05/08","Treefrog Toe Pad-Inspired Micropatterning for High-Power Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201901638","10.1002/adfm.201901638","sensor","","","aluminum","polystyrene","Al","490 V","","24 W m−2","24.4 µA cm−2","","electrode 0.1 mm ","","5 Hz"
"Hwisu Oh","2019/07/15","Highly Conductive Ferroelectric Cellulose Composite Papers for Efficient Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201904066","10.1002/adfm.201904066","","","contact-separation","cellulose","Teflon","silver","170 V","","180 µW cm−2","","","","2×2 cm2",""
"Man-Chung Wong","2019/08/28","Microplasma-Discharge-Based Nitrogen Fixation Driven by Triboelectric Nanogenerator toward Self-Powered Mechano-Nitrogenous Fertilizer Supplier","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201904090","10.1002/adfm.201904090","sensor","tactile/motion sensor","contact-separation","","","stainless steel","2200 V","","","","","","100 cm2","7 Hz"
"Ying-Chih Lai","2019/08/05","Entirely, Intrinsically, and Autonomously Self-Healable, Highly Transparent, and Superstretchable Triboelectric Nanogenerator for Personal Power Sources and Self-Powered Electronic Skins","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201904626","10.1002/adfm.201904626","sensor","tactile/motion sensor","","","PDMS","silver","20 V","","","240 µA m−2","7 µC m−2","electrode 1 mm tribonegative layer 300 µm ","4×2.5 cm2","4 Hz"
"Jie An","2019/08/01","Whirling-Folded Triboelectric Nanogenerator with High Average Power for Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201904867","10.1002/adfm.201904867","energy harvester","use of energy from water/fluid","contact-separation","","fluorinated ethylene propylene","Cu","","","12.4 W m−3","","240 µC m−2","","","1.4 Hz"
"Wei Zhong","2019/09/04","Tilting-Sensitive Triboelectric Nanogenerators for Energy Harvesting from Unstable/Fluctuating Surfaces","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201905319","10.1002/adfm.201905319","energy harvester","use of energy from water/fluid","","","","","302.87 V","24.66 µA","1.8 W m−3","","","","","1.2 Hz"
"Changsheng Wu","2019/10/25","Self-Powered Iontophoretic Transdermal Drug Delivery System Driven and Regulated by Biomechanical Motions","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201907378","10.1002/adfm.201907378","sensor","tactile/motion sensor","","human skin","PDMS","carbon","1200 V","20 µA","","","","","","2 Hz"
"Jichao Qian","2019/11/11","A Nonmetallic Stretchable Nylon-Modified High Performance Triboelectric Nanogenerator for Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201907414","10.1002/adfm.201907414","energy harvester","use of energy from motion","contact-separation","nylon","silicone rubber","silver","848 V","138 µA","11.2 W m−2","46 mA m−2","125 µC m−2","","","11.4 Hz"
"Panpan Zhang","2020/02/21","Stretchable, Transparent, and Thermally Stable Triboelectric Nanogenerators Based on Solvent-Free Ion-Conducting Elastomer Electrodes","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201909252","10.1002/adfm.201909252","sensor","tactile/motion sensor","","nylon","fluorinated ethylene propylene","stainless steel","163 V","","55.9 mW m−2","","","","3×3 cm2",""
"Aurelia C. Wang","2020/01/23","Unraveling Temperature-Dependent Contact Electrification between Sliding-Mode Triboelectric Pairs","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.201909384","10.1002/adfm.201909384","energy harvester","use of energy from motion","contact-separation","","polytetrafluoroethylene","Au","235 V","116 nA","","","","","","0.4 Hz"
"Lei Zhang","2020/05/27","Cellulose II Aerogel-Based Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202001763","10.1002/adfm.202001763","energy harvester","use of energy from water/fluid","contact-separation","cellulose","","","65 V","1.86 µA","127 mW m−2","","","tribopositive layer 2.8 cm ","6.15 cm2","1 Hz"
"Wen-Tao Cao","2020/09/13","A Stretchable Highoutput Triboelectric Nanogenerator Improved by MXene Liquid Electrode with High Electronegativity","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202004181","10.1002/adfm.202004181","sensor","tactile/motion sensor","","human skin","silicone rubber","mxene","300 V","7.8 µA","","","","","8×4 cm2","1.5 Hz"
"Yang Jiang","2020/09/28","Stretchable, Washable, and Ultrathin Triboelectric Nanogenerators as Skin-Like Highly Sensitive Self-Powered Haptic Sensors","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202005584","10.1002/adfm.202005584","sensor","tactile/motion sensor","","","PDMS","","110 V","0.3 µA","","","","tribonegative layer 50 µm ","4 cm × 4 cm","1 Hz"
"Liangliang Wang","2020/11/16","Stretchable and Shape-Adaptable Triboelectric Nanogenerator Based on Biocompatible Liquid Electrolyte for Biomechanical Energy Harvesting and Wearable Human–Machine Interaction","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202007221","10.1002/adfm.202007221","energy harvester","use of energy from motion","lateral sliding","human skin","silicone rubber","copper","600 V","40 nA","2.0 W m−2","17.5 mA m−2","","tribopositive layer 4 mm ","",""
"Zhengguang Yan","2021/03/29","Flexible High-Resolution Triboelectric Sensor Array Based on Patterned Laser-Induced Graphene for Self-Powered Real-Time Tactile Sensing","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202100709","10.1002/adfm.202100709","sensor","tactile/motion sensor","","","silicone rubber","copper","12 V","150 nA","","","","","","1.5 Hz"
"Zhipeng Zheng","2021/06/02","Dielectric Modulated Glass Fiber Fabric-Based Single Electrode Triboelectric Nanogenerator for Efficient Biomechanical Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202102431","10.1002/adfm.202102431","energy harvester","use of energy from motion","single-electrode","hair","PE","","1640 V","","10.8 W m−2","59.05 mA m−2","","","35×30 mm2",""
"Xiao Peng","2021/06/19","All-Nanofiber Self-Powered Skin-Interfaced Real-Time Respiratory Monitoring System for Obstructive Sleep Apnea-Hypopnea Syndrome Diagnosing","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202103559","10.1002/adfm.202103559","sensor","tactile/motion sensor","","","","Au","5.2 V","2 nA","","","","electrode 100 nm ","","0.2 Hz"
"Zhiqing Bai","2021/06/29","Autonomously Adhesive, Stretchable, and Transparent Solid-State Polyionic Triboelectric Patch for Wearable Power Source and Tactile Sensor","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202104365","10.1002/adfm.202104365","sensor","tactile/motion sensor","","nylon","polystyrene","copper","191 V","","","","","","",""
"Jinxing Jiang","2021/08/27","Abrasion and Fracture Self-Healable Triboelectric Nanogenerator with Ultrahigh Stretchability and Long-Term Durability","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202105380","10.1002/adfm.202105380","sensor","tactile/motion sensor","","nylon","PDMS","","140 V","1.5 µA","450 mW m−2","","","","1×3 cm2","2.5 Hz"
"Hao Pang","2021/08/25","Segmented Swing-Structured Fur-Based Triboelectric Nanogenerator for Harvesting Blue Energy toward Marine Environmental Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202106398","10.1002/adfm.202106398","energy harvester","use of energy from motion","freestanding","fur","polytetrafluoroethylene","carbon","","120.3 µA","0.21 W m−3","","","","218.5 cm2","1.1 Hz"
"Yuhan Yang","2022/03/10","Barycenter Self-Adapting Triboelectric Nanogenerator for Sea Water Wave High-Entropy Energy Harvesting and Self-Powered Forecasting in Marine Meteorology","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202200521","10.1002/adfm.202200521","energy harvester","use of energy from water/fluid","","aluminum","FEP","Al","115 V","0.13 µA","","","","","","1 Hz"
"Hao Luo","2022/04/03","In Situ Nanofluid Dispersion Monitoring by Liquid–Solid Triboelectric Nanogenerator Based on Tuning the Structure of the Electric Double Layer","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202200862","10.1002/adfm.202200862","","","lateral sliding","","FEP","copper","25 V","","","","","","","0.31 Hz"
"Xingkui Guo","2022/05/18","Anti-Freezing Self-Adhesive Self-Healing Degradable Touch Panel with Ultra-Stretchable Performance Based on Transparent Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202201230","10.1002/adfm.202201230","sensor","tactile/motion sensor","single-electrode","cotton","PDMS","platinum","","","","","","","",""
"Zhigang Qu","2022/05/01","Spherical Triboelectric Nanogenerator Based on Eccentric Structure for Omnidirectional Low Frequency Water Wave Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202202048","10.1002/adfm.202202048","energy harvester","use of energy from water/fluid","","","","","6 V","0.08 μA","0.01 mW m−2","","","","","2.0 Hz"
"Qian Tang","2022/03/30","Interface Static Friction Enabled Ultra-Durable and High Output Sliding Mode Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202202055","10.1002/adfm.202202055","","","freestanding","ABS","","copper","365 V","","","","","","","2 Hz"
"Trilochan Bhatta","2022/03/19","Siloxene/PVDF Composite Nanofibrous Membrane for High-Performance Triboelectric Nanogenerator and Self-Powered Static and Dynamic Pressure Sensing Applications","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202202145","10.1002/adfm.202202145","sensor","tactile/motion sensor","contact-separation","","PDMS","copper","","","","","","","","1 Hz"
"Jian Wang","2022/06/22","An Ultrafast Self-Polarization Effect in Barium Titanate Filled Poly(Vinylidene Fluoride) Composite Film Enabled by Self-Charge Excitation Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202204322","10.1002/adfm.202204322","","","contact-separation","","PVDF","carbon","","0.1 mA","","","","","3 cm × 3 cm","3.5 Hz"
"Xiangyang Gao","2022/07/08","Dual Redox Active Sites N-C@Ni2P/NiSe2 Heterostructure Supercapacitor Integrated with Triboelectric Nanogenerator toward Efficient Energy Harvesting and Storage","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202204833","10.1002/adfm.202204833","energy harvester","use of energy from water/fluid","single-electrode","","","Cu","810 V","11.4 µA","","","","","4 cm2",""
"Yingjin Luo","2022/07/12","Durability Improvement of Breeze-Driven Triboelectric-Electromagnetic Hybrid Nanogenerator by a Travel-Controlled Approach","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202205710","10.1002/adfm.202205710","sensor","","","nylon","polytetrafluoroethylene","copper","390 V","","","","","","",""
"Yen Pei Lim","2022/09/04","Modulating ZnO Growth Structures for Maximum Power Output of Hybrid Piezo/Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202206750","10.1002/adfm.202206750","","","","","silicone rubber","ZnO","80 V","","15.9 W m−2","13.9 µA m−2","","electrode 30 nm ","","4 Hz"
"Wenyan Qiao","2022/09/04","Simultaneously Enhancing Direct-Current Density and Lifetime of Tribovotaic Nanogenerator via Interface Lubrication","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202208544","10.1002/adfm.202208544","sensor","tactile/motion sensor","","","","copper","80 mV","45 µA","54.3 mW m−2","775 mA m−2","31 mC m−2","","",""
"Hanlin Zhou","2022/12/13","A Multi-Layer Stacked Triboelectric Nanogenerator Based on a Rotation-to-Translation Mechanism for Fluid Energy Harvesting and Environmental Protection","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202210920","10.1002/adfm.202210920","energy harvester","use of energy from water/fluid","lateral sliding","nylon","","carbon","2410 V","12.1 µA","","","","tribopositive layer 10 µm ","1 cm2","3.89 Hz"
"Hao Li","2023/01/03","Leaf-Like TENGs for Harvesting Gentle Wind Energy at An Air Velocity as Low as 0.2 m s−1","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202212207","10.1002/adfm.202212207","energy harvester","use of energy from wind","","","FEP","aluminum","338 V","24.3 µA","","","","","",""
"Lin Shi","2023/01/12","Fluorinated Covalent Organic Framework as a Positive Tribo-Material for High-Performance Triboelectric Nanogenerators","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202212891","10.1002/adfm.202212891","","","freestanding","polyamide","PVC","","180.4 V","","320.2 mW m−2","26.73 mA m−2","129.5 µC m−2","","","4 Hz"
"Gui Li","2023/01/17","A Nanogenerator Enabled by a Perfect Combination and Synergetic Utilization of Triboelectrification, Charge Excitation and Electromagnetic Induction to Reach Efficient Energy Conversion","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202213893","10.1002/adfm.202213893","","","contact-separation","","Kapton","copper","5.45 V","122 µA","","","59.2 mC m−3","","","4 Hz"
"Meijie Cui","2023/07/11","Template-Assisted Electrospun Ordered Hierarchical Microhump Arrays-Based Multifunctional Triboelectric Nanogenerator for Tactile Sensing and Animal Voice-Emotion Identification","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202301589","10.1002/adfm.202301589","sensor","tactile/motion sensor","contact-separation","aluminum","silicone rubber","Ni","","","122 mW m−2","","","","",""
"Lei Yang","2023/05/14","An Electrode-Grounded Droplet-Based Electricity Generator (EG-DEG) for Liquid Motion Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202302147","10.1002/adfm.202302147","sensor","tactile/motion sensor","single-electrode","","PDMS","copper","","0.035 µA","","","","","",""
"Chuanhui Wei","2023/05/07","A Self-Powered Body Motion Sensing Network Integrated with Multiple Triboelectric Fabrics for Biometric Gait Recognition and Auxiliary Rehabilitation Training","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202303562","10.1002/adfm.202303562","sensor","tactile/motion sensor","contact-separation","cotton","PE","Ag","0.8 V","2.9 nA","","","","","20 cm2",""
"Jian Wang","2023/06/25","Remarkably Enhanced Charge Density of Inorganic Material Via Regulating Contact Barrier Difference and Charge Trapping for Triboelectric Nanogenerator","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202304221","10.1002/adfm.202304221","energy harvester","use of energy from wind","contact-separation","","PVDF","carbon","1 V","0.1 µA","","111 mA m−2","1310 µC m−2","","3 mm × 3 mm",""
"Yuhan Yang","2023/07/12","A Swing Self-Regulated Triboelectric Nanogenerator for High-Entropy Ocean Breaking Waves Energy Harvesting","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202304366","10.1002/adfm.202304366","energy harvester","use of energy from water/fluid","contact-separation","","","copper","140 V","10 µA","","","","","","1 Hz"
"Qi Chen","2023/09/12","Lightweight Triboelectric Nanogenerators Based on Hollow Stellate Cellulose Films Derived from Juncus effusus L. Aerenchyma","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202304801","10.1002/adfm.202304801","sensor","tactile/motion sensor","","cellulose","PVDF","Ag","47.14 V","","","","","","","0.5 Hz"
"Chuncai Shan","2023/07/12","Dual Mode TENG with Self-Voltage Multiplying Circuit for Blue Energy Harvesting and Water Wave Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202305768","10.1002/adfm.202305768","energy harvester","use of energy from water/fluid","contact-separation","nylon","","aluminum","","78 µA","","","","","","1 Hz"
"Cong Zhao","2023/09/13","MXene-Composite-Enabled Ultra-long-Distance Detection and Highly Sensitive Self-Powered Noncontact Triboelectric Sensors and Their Applications in Intelligent Vehicle Perception","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202306381","10.1002/adfm.202306381","sensor","tactile/motion sensor","contact-separation","nylon","silicone rubber","mxene","24.3 V","120.6 nA","","","","","8×4 cm2",""
"Shihe Du","2023/09/01","High Durable Rotary Triboelectric Nanogenerator Enabled by Ferromagnetic Metal Particles as a Friction Material","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202306491","10.1002/adfm.202306491","sensor","tactile/motion sensor","","","FEP","","1350 V","2.17 µA","400 mW m−2","","103 µC m−2","tribonegative layer 50 µm ","",""
"Qitao Zhou","2023/09/13","Triboelectric Nanogenerator with Dynamic Electrode for Geological Disaster and Fall-Down Self-Powered Alarm System","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202306619","10.1002/adfm.202306619","sensor","tactile/motion sensor","single-electrode","","","Cu","2000 V","7 mA","","","","","",""
"Guoqiang Xu","2023/11/23","Triboelectric Nanogenerator Enabled Sweat Extraction and Power Activation for Sweat Monitoring","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202310777","10.1002/adfm.202310777","sensor","","","","","","1.86 V","14.98 mA","24 mW cm−2","33 mA cm−2","","electrode 100 µm ","",""
"Xiangyi Wang","2023/10/22","Achieving High Power Density and Durability of Multilayered Swing-Structured Triboelectric Nanogenerator toward Marine Environmental Protection","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202311196","10.1002/adfm.202311196","energy harvester","use of energy from water/fluid","","hair","","","1330 V","180.9 µA","15.18 W m−3","","","electrode 3 mm ","","0.8 Hz"
"Chuanwei Lu","2023/12/14","Skin-Like Transparent, High Resilience, Low Hysteresis, Fatigue-Resistant Cellulose-Based Eutectogel for Self-Powered E-Skin and Human–Machine Interaction","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202311502","10.1002/adfm.202311502","sensor","tactile/motion sensor","contact-separation","cellulose","silicone rubber","","273 mV","1.187 µA","","","","","16 cm2","3 Hz"
"Karem Lozano Montero","2024/01/17","Printed and Stretchable Triboelectric Energy Harvester Based on P(VDF-TrFE) Porous Aerogel","https://onlinelibrary.wiley.com/doi/full/10.1002/adfm.202312881","10.1002/adfm.202312881","energy harvester","use of energy from motion","","","Kapton","silver","2.6 V","","","","","","","2.5 Hz"
